번호,게시판,제목,작성자,날짜,조회수
20017,정보 공유,논문 제목 : 삼차 림프 구조의 대식세포는 IL-18을 통해 ATF4 양성 위암 세포의 세포사멸을 촉진한다,브레이크쓰루우,2025.12.29.,35
20018,정보 공유,수술없이 암세포 파쇄하는 초음파 치료기 개발.FDA 승인,브레이크쓰루우,2025.12.29.,113
20019,자유게시판,성인 아데노바이러스 도와주세요,초록초록,2025.12.29.,101
20020,질문과 대답(QnA),방광암 보조치료 중 이뮤코텔,요정라랑,2025.12.30.,236
20021,자유게시판,"세계에서 가장 비싼 꿀은 얼마일까, 그 효능은?",건강장수1,2025.12.30.,47
20022,자유게시판,"황장목 천연발효효소식초의 세포재생력과 항염,항균성 체험",건강장수1,2025.12.30.,36
20023,암 호전사례 정보,[해외호전사례] 미국 Jody 님 당뇨병 환자 + 3b기 편평상피세포 비소세포폐암 (2021년) - 병원치료들 + 조티펜스 복용법,꿈많은사람2,2025.12.30.,144
20025,정보 공유,"암 재발의 원인과 제거법,항염증제 사용",브레이크쓰루우,2025.12.31.,78
20026,자유게시판,난소암 환자 구충제좀 알려주세요,메달이,2025.12.31.,119
20027,자유게시판,강황을 복용해도 문제가 없을까요?,메달이,2025.12.31.,86
20028,자유게시판,강황 영양제 추천좀해주세요,메달이,2025.12.31.,134
20029,자유게시판,2026년 새해복 많이 받으세요,헤라,2025.12.31.,93
20031,기타 자가임상 후기,어제 내시경 다시 해보니,브레이크쓰루우,2026.01.01.,154
20033,정보 공유,구충제로 각종암을 치료한 사례 모음집(주로 해외사례),브레이크쓰루우,2026.01.01.,147
20034,자유게시판,CBD 오일=RSO 오일,브레이크쓰루우,2026.01.01.,274
20035,자유게시판,의도치 않은 현직 암전문의의 항암제 성분의 유독성 및 정상세포 괴사 등 설명,건강장수1,2026.01.01.,125
20036,정보 공유,"[해외소식] 췌장암, 사망 원인 2위로 부상: 새로운 ROOT9+™ 프로토콜, 위험도 89% 감소 효과 달성",꿈많은사람2,2026.01.02.,165
20037,정보 공유,"이버멕틴,펜벤다졸의 암 치료기전",브레이크쓰루우,2026.01.02.,269
20038,자유게시판,이버맥틴과 펜벤다졸 있읍니다,찾아가는 min,2026.01.03.,155
20039,정보 공유,항암작용한다는 백화사설초 이야기,브레이크쓰루우,2026.01.03.,64
20040,이버맥틴자가임상후기,이버멕틴 펜벤다졸 구했습니다,브레이크쓰루우,2026.01.04.,243
20041,정보 공유,펜벤다졸 연구물(동물 사람) 2024년 7월 발표,브레이크쓰루우,2026.01.04.,136
20043,질문과 대답(QnA),벤지미다졸 3가지 약 각각 최고 특성,위기,2026.01.05.,132
20044,정보 공유,금식의 항암작용 역할과 같은  대체약물 개발,브레이크쓰루우,2026.01.06.,104
20045,자유게시판,강원도 정선군 해발800-900 청정자연 야생 서리태 메주작업 완료,건강장수1,2026.01.06.,57
20046,자유게시판,박성호한의사와 각종암 및 난치병 의견나눔,건강장수1,2026.01.07.,80
20047,가입 인사,안녕하세요,정대칭,2026.01.07.,33
20050,정보 공유,암의 원인이 기생충과 진균류라는 클락박사(구충제후기 카페에서 퍼옴),브레이크쓰루우,2026.01.07.,123
20052,정보 공유,암 치료에서 마트린의 역할: 항종양 메커니즘 및 나노 전달 전략(괴화나무 꽃봉오리 성분),브레이크쓰루우,2026.01.08.,47
20053,자유게시판,연예인 안성기씨 영면과 나는자연인이다 690회 권길현씨 심신상태,건강장수1,2026.01.08.,134
20054,자유게시판,암치료시 정말 이런 것은 조심해야 할 듯 합니다.,늘푸른행복나무,2026.01.08.,212
20055,정보 공유,면역치료 단독요법으로 수술 항암없이 치료 대성공.,브레이크쓰루우,2026.01.08.,250
20056,정보 공유,고령자가 사망 약 1년전부터 나타나는 징후 10가지,브레이크쓰루우,2026.01.09.,143
20057,자유게시판,"도전과 응전(=방어)의 생존원리 관점에서 ChatGPT에게 기생충과 암에 대해 물어보니, 흥미로운 답변을 하네요.",늘푸른행복나무,2026.01.09.,104
20058,정보 공유,DMSO=Dimethyl Sulfoxide 통증완화제는 암치료에 성공적인 약물이 될수 있을까,브레이크쓰루우,2026.01.10.,81
20059,자유게시판,필요할 것 같아서 올려보았어요,분홍앵초,2026.01.10.,264
20060,정보 공유,"요드(포비돈 요드), 살균제의 왕",브레이크쓰루우,2026.01.11.,311
20061,자유게시판,설중 회고와 고언,건강장수1,2026.01.11.,93
20062,플라이패치_자가임상,감사드립니다.플라이패치,rabbitskin2,2026.01.11.,169
20064,자유게시판,55년 경력의 암전문의 김의신 의학박사님의 암치료법에 대한 견해와 대안,건강장수1,2026.01.14.,118
20065,자유게시판,"각종암 및 파킨슨등 퇴행성뇌질환, 만성신부전, 자폐증, 크론병, 부정맥 등 다양한 난치병 환우분들의 치유와 완치 투병방법의 세미나 참석의견",건강장수1,2026.01.14.,91
20066,가입 인사,안녕하세요!,딩가둥가딩가,2026.01.15.,50
20067,질문과 대답(QnA),멈췄던 각혈과 페벤다졸의 상관관계?,벌꿀사랑,2026.01.16.,195
20068,자유게시판,자궁선근증 도와주십시오 3화 그 이후( to 말콥 ),냥꼬센세,2026.01.16.,117
20069,가입 인사,안녕하세요,시리엄마,2026.01.17.,54
20070,암 관해사례 정보,복식호흡과 맨발걷기로 4기위암 완치한 한국여성,브레이크쓰루우,2026.01.17.,177
20071,정보 공유,"면역학자의 암예방및 치료법.손,발톱 주위 맛사지",브레이크쓰루우,2026.01.17.,93
20072,가입 인사,안녕하세요,생명력,2026.01.18.,44
20073,자유게시판,"'암의 원인은 기생충'이라는 전제하에, 입자가속기 치료의 기생충에 대한 작용기전을 살펴보니....",늘푸른행복나무,2026.01.18.,220
20074,자유게시판,암세포 굶겨 죽이는 법,낙우,2026.01.18.,164
20075,암 관해사례 정보,이철우 경북지사 4개월 암투병 95%관해,브레이크쓰루우,2026.01.18.,458
20076,자유게시판,암의 원인.치료 관련 자료들을 보다가 기억에 남는 다큐가 생각나 오래 묵은 창고를 다시 뒤져보았습니다.,늘푸른행복나무,2026.01.19.,128
20078,정보 공유,최첨단 기능의학을 접목시켜 암치료를 하는  독특한  의사,브레이크쓰루우,2026.01.19.,84
20079,자유게시판,"암세포 전멸, 다른 세포는...",건강장수1,2026.01.20.,71
20080,질문과 대답(QnA),메벤다졸,위기,2026.01.20.,120
20081,기타 자가임상 후기,이버멕틴 고용량 부작용?,브레이크쓰루우,2026.01.20.,201
20082,기타 자가임상 후기,생채소 과다복용이 변비의 원인,브레이크쓰루우,2026.01.20.,55
20083,자유게시판,복식호흡 요령,브레이크쓰루우,2026.01.20.,68
20084,가입 인사,간절해서 가입했습니다.,블루스카이1609,2026.01.20.,121
20085,정보 공유,유방암 폭증은 요드 부족이다,브레이크쓰루우,2026.01.20.,116
20086,정보 공유,[해외소식] 공식 조티펜스 유튜브 채널 개설 - 여기 빼고는 나머지는 조티펜스의 원본이 아니다 생각하시면 됩니다.,꿈많은사람2,2026.01.20.,121
20087,자유게시판,궁금해서 ChatGPT에게 인체내에도 이버멕틴처럼 기생충의 신경을 마비시켜 사멸시킬 수 있는 물질이 생성되거나 배출되는지 물어보았습니다.,늘푸른행복나무,2026.01.21.,108
20088,정보 공유,[해외 논문] 깜짝 놀랄 만한 2026년 논문 - 위장된 암: 몸속 기생충 Cancer in disguise: a parasite within,꿈많은사람2,2026.01.21.,381
20090,가입 인사,가입인사,성장했다,2026.01.21.,24
20091,정보 공유,이버멕틴과  펜벤다졸 복용량,브레이크쓰루우,2026.01.21.,343
20092,기타 자가임상 후기,혈액검사 결과,브레이크쓰루우,2026.01.21.,110
20093,정보 공유,요오드 한박스 얻어왔습니다,브레이크쓰루우,2026.01.21.,106
20094,정보 공유,CBD 오일과 햄프시드 오일과 THC와의 관계,브레이크쓰루우,2026.01.22.,116
20095,구매정보게시판(물건배송확인후),이트리나코나졸 구입 방법 좀 알려 주세요..,냥가,2026.01.22.,77
20096,정보 공유,서양의사가 권유하는 암진단 받으면 즉시 해야 할 일(식품섭취),브레이크쓰루우,2026.01.22.,126
20097,자유게시판,각종암 및 다양한 난치병 환우분들의 현실과 선택,건강장수1,2026.01.22.,89
20098,자유게시판,건강생활에 영향력을 크게 미친 사람들은 얼마나 오래 살았을까,브레이크쓰루우,2026.01.23.,41
20099,정보 공유,"항암의 베이스캠프,발아현미 새싹채소",브레이크쓰루우,2026.01.23.,85
20100,정보 공유,주마니아의 자연치유기,브레이크쓰루우,2026.01.23.,99
20101,자유게시판,산골 서리태 검정콩 판매합니다.,산하,2026.01.23.,39
20102,가입 인사,가입후 첫글 입니다,동대구2,2026.01.24.,57
20103,정보 공유,암은 돌연변이가 아닌 감염일 수 있다는 이론,브레이크쓰루우,2026.01.24.,147
20105,정보 공유,[해외영상] 조티펜스님께서 직접 - Joe Tippens가 설명하는 ONCO-Adjunct Pathway 4는 무엇인가요? 2026.01.23,꿈많은사람2,2026.01.24.,165
20106,정보 공유,"현대바이오 ""경구용 니클로사마이드 항암제, 전임상 성공""",브레이크쓰루우,2026.01.24.,159
20107,자유게시판,"""한 번만 먹어도 수명 10년 깎이는 음식"" 3위 돈가스, 2위 제육, 뜻밖의 1위는 갈비찜",브레이크쓰루우,2026.01.24.,124
20108,정보 공유,"지구상에서 가장 노화가 느린사람,왜?",브레이크쓰루우,2026.01.25.,84
20109,정보 공유,[토론정리] 브레이크쓰루우님과 위기님의 댓글들 정리 그리고 현대 종양학 이론들,꿈많은사람2,2026.01.25.,163
20110,자유게시판,건강한 100세노인과 하루 일과 동행기,브레이크쓰루우,2026.01.25.,43
20111,정보 공유,풀빅산도 천연 항암제?,브레이크쓰루우,2026.01.26.,60
20112,자유게시판,식품첨가물의 유해성과 대응방안 등,건강장수1,2026.01.26.,38
20113,정보 공유,"잡초 쇠비름은 만병통치약,항암효과 월등",브레이크쓰루우,2026.01.26.,137
20114,자유게시판,저의 이야기를 영상으로 만들었습니다.,빙그르르르르르르,2026.01.26.,244
20115,자유게시판,암환우분들의 원두커피 섭생시 임상사례 및 결과,건강장수1,2026.01.27.,109
20116,자유게시판,소 생간 먹으면 생기는일,빙그르르르르르르,2026.01.28.,317
20117,자유게시판,"봉사,헌신,이타심과 이타행,긍정심 말기암 완치",건강장수1,2026.01.28.,85
20118,자유게시판,중금속 해독하기,빙그르르르르르르,2026.01.29.,139
20120,정보 공유,"비타민D 부족,면역활성화 못해",브레이크쓰루우,2026.01.30.,95
20121,정보 공유,[해외정보] 마크 린턴과 Dr. Peavler 2026년 1월 27일 인터뷰 영상 (part 1)을 한글로 분석과 다양한 형태로 변환 ( 이론편 ),꿈많은사람2,2026.01.30.,72
20122,정보 공유,암은 병이 아니다.면역력 높이는 쉬운방법,브레이크쓰루우,2026.01.30.,124
20123,자유게시판,기생충과 소포체 스트레스의 연관성,낙우,2026.01.30.,62
20124,정보 공유,"[해외논문] 멕시코 23세 버킷림프종 환자, 15cm 회충 토해낸 뒤 벌어진 참혹한 결말 - January 19, 2026, cureus",꿈많은사람2,2026.01.30.,128
20125,정보 공유,"[해외논문] 포르투갈 55세 건강하던 남자, 허리통증으로 왔다가 ‘초고속 진행’ 버킷림프종으로 하루 만에 세상 떠났습니다 - August 14, 2025, cureus",꿈많은사람2,2026.01.30.,149
20126,정보 공유,"곰팡이와 암의 상관관계 발견(이스라엘연구진등),2022년 네이쳐지",브레이크쓰루우,2026.01.31.,103
20127,암 호전사례 정보,4기 암에서의 펜벤다졸,낙우,2026.01.31.,496
20128,정보 공유,"[공유] 인도서 ‘치명률 75%’ 니파바이러스 확진…질병청 “입국자 검역 강화""",브레이크쓰루우,2026.01.31.,86
20130,정보 공유,[딴짓거리] 2022년 CELL 범암(모든암) 분석을 통해 암 유형별 진균 생태 논문을 인용한 479개 논문들 메타분석과 시민과학자들을 모집합니다.,꿈많은사람2,2026.02.01.,116
20131,자유게시판,벌에 쏘이면 암이 사라진다.60분만에 전멸한 유방암 세포,천천히00,2026.02.01.,295
20132,정보 공유,노벨상받은 항암치료법 요오드,브레이크쓰루우,2026.02.02.,129
20133,질문과 대답(QnA),"저속노화 물질 NMN 광풍, 암치료에 도움이 될까",브레이크쓰루우,2026.02.02.,119
20134,정보 공유,"[해외커뮤니티복용법] 드디어 나왔네요, anti-fungal protocol 항진균 프로토콜 - by abbey mitchell - 설금홍님 해설 부탁드려요.",꿈많은사람2,2026.02.02.,193
20135,정보 공유,피라맥스(개똥쑥) 코로나19치료제로 유럽특허,브레이크쓰루우,2026.02.03.,161
20136,자유게시판,TCBIO 티씨바이오 치료 받으신분,빅토고,2026.02.03.,67
20137,정보 공유,마늘섭취시 후추를 첨가해야,브레이크쓰루우,2026.02.04.,90
20138,자유게시판,안녕하세요 항암 앞두고 조언 좀 구합니다.,시리엄마,2026.02.05.,175
20139,정보 공유,풀빅산 연구논문. 암세포 자살유도,브레이크쓰루우,2026.02.06.,174
20140,자유게시판,펜벤다졸 부작용 어떻게 하나요?,동대구2,2026.02.06.,229
20141,자유게시판,세계 암의날 매년 2월 4일,브레이크쓰루우,2026.02.06.,13
20142,정보 공유,"[해외논문] 네이쳐, 2026년 2월 2일 - 암에서의 미생물군: 현재의 이해와 미래 전망 - 정독 강추.",꿈많은사람2,2026.02.06.,89
20143,정보 공유,노화세포 청소법이 암의 진행을 막는다,브레이크쓰루우,2026.02.07.,97
20144,질문과 대답(QnA),구충제로 암이 나은 동양인 케이스도 있나요?,나는이겨낸다,2026.02.07.,220
20145,정보 공유,달리기를 계속하니 수술불가 4기암의 크기 줄어들어,브레이크쓰루우,2026.02.07.,143
20146,정보 공유,항암구충제 구입정보,세꼬시,2026.02.07.,288
20147,정보 공유,자리에 누워서 하는 운동 20분,브레이크쓰루우,2026.02.08.,52
20148,정보 공유,"항노화물질, 녹차",브레이크쓰루우,2026.02.08.,51
20149,정보 공유,"2026 노화역전 연구 발표회,핵심  5가지 분야",브레이크쓰루우,2026.02.08.,53
20150,정보 공유,[기록목적] 네이쳐 최신 논문 - 암에서 미생물군(microbiota)을 우리들은 어떻게 보면 좋을까요?,꿈많은사람2,2026.02.08.,99
20151,정보 공유,새로운 미토콘드리아 만드는 핵심 4가지 채소과일,브레이크쓰루우,2026.02.08.,132
20153,자유게시판,참깨 여유분 있습니다.,산하,2026.02.09.,48
20154,자유게시판,녹즙추천해주세요,핔크리,2026.02.09.,117
20156,질문과 대답(QnA),전기장판이 암환자에게 해로울까요,브레이크쓰루우,2026.02.11.,217
20157,정보 공유,"[해외커뮤니티] 페이스북 그룹에서 이버멕틴과 펜벤다졸 단어가 들어간 그룹들 모아보니, 해외에서는 아주 왕성한 활동",꿈많은사람2,2026.02.13.,187
20158,자유게시판,청정자연 18년 자연숙성중인 천연꿀과 고로쇠 수액,건강장수1,2026.02.13.,56
20159,정보 공유,"[커트 마이클 그레이든] 당신의 수명을 결정짓는 세포 속 엔진, 미토콘드리아를 깨우는 4가지 혁신적 전략",꿈많은사람2,2026.02.14.,152
20160,기타 자가임상 후기,구충제와 변비,브레이크쓰루우,2026.02.14.,86
20161,암 호전사례 정보,"[해외호전사례] 미국, Michael 진행성 4기, 치료 불가능한 소장 선암 진단 (2023년 7월), 현재 관해 - 제인의 대사치료법, 정리가 아주 잘 되어 있음.",꿈많은사람2,2026.02.14.,125
20162,정보 공유,"[공유] ""너무 좋아요"" 시민들 호평…안양 '비닐하우스 맨발길' 걸어 보니",브레이크쓰루우,2026.02.15.,48
20163,정보 공유,암세포 40°c 넘으면 사멸이용한 HIPEC 치료,브레이크쓰루우,2026.02.15.,99
20164,자유게시판,2026년 새해복 많이 받으세요,헤라,2026.02.15.,68
20165,자유게시판,뇌유래신경영양인자의 폭발적 분비(단식과정에서 AI와의 대화),천천히00,2026.02.15.,32
20166,정보 공유,[해외논문] 난소암 무진행 생존율 26% → 70%로 점프! 이트라코나졸 병용 요법의 위력 - Current Oncology 2026 에 출판 - 임상시험 결과 심층 분석,꿈많은사람2,2026.02.15.,196
20167,정보 공유,오존치료법,브레이크쓰루우,2026.02.15.,83
20168,정보 공유,"[해외논문] 내 몸속 미생물이 위암 치료를 결정한다? 면역-미생물 아형 분석이 가져온 정밀 의료의 혁명 - Computational Biology,",꿈많은사람2,2026.02.15.,121
20169,정보 공유,역노화 임상시작,브레이크쓰루우,2026.02.16.,111
20170,정보 공유,걷기는 숨찰 정도로 걸어야 효과,브레이크쓰루우,2026.02.17.,43
20171,정보 공유,화타식 숭늉,브레이크쓰루우,2026.02.17.,67
20172,정보 공유,65세 이상의 사람들이 피해야 할 가장 위험한 5가지 수술,브레이크쓰루우,2026.02.17.,77
20173,정보 공유,미 국립 암연구소 이버멕틴 암세포 사멸연구중 발표에 의료계 공방 치열,브레이크쓰루우,2026.02.17.,116
20174,정보 공유,야채스프 vs 녹즙,브레이크쓰루우,2026.02.17.,92
20175,정보 공유,"러시아 생화학자,암은 대사병이니  탄수화물 적절히 먹고 지방은 줄여라",브레이크쓰루우,2026.02.17.,81
20176,자유게시판,구충제 가격정보 (인도),천천히00,2026.02.17.,307
20177,정보 공유,설탕은 암을 일으키지 않는다?,브레이크쓰루우,2026.02.18.,110
20178,정보 공유,"KAIST , 킴스 이펙트,러시아 딘코프 공통점",브레이크쓰루우,2026.02.18.,69
20179,정보 공유,러시아 딘코프.암제거위해 어떻게 비정상적인 대사 장애물을 해제하느냐가 관건,브레이크쓰루우,2026.02.18.,66
20180,자유게시판,1. 면역력과 건강장수에 관한  연재에 앞서 드리는 말씀,건강장수1,2026.02.18.,47
20181,자유게시판,2. 암세포란,건강장수1,2026.02.18.,73
20182,자유게시판,3. 현대의학의 암 치료법에대한 고찰,건강장수1,2026.02.19.,39
20183,자유게시판,4. 자연치유법 중 거슨요법에 대한 고찰,건강장수1,2026.02.19.,42
20184,자유게시판,유기농채소 ㅡ기생충?,투게더투,2026.02.19.,64
20185,자유게시판,5. 자연치유법 중 브루스 요법에 대한 고찰,건강장수1,2026.02.20.,32
20186,자유게시판,6. 자연치유법에 관한 총평과 장단점 및 건강장수  실천방안 등 고찰,건강장수1,2026.02.20.,55
20187,자유게시판,7. 건강한 먹거리의 항산화성분에 대한 오해와 고찰,건강장수1,2026.02.20.,25
20188,자유게시판,"8-1. 파킨슨, 치매, 3개월 시한부선고 간경변 완치 투병기 - 생명터 인연을 맺다.",건강장수1,2026.02.20.,55
20189,정보 공유,암의 미토콘드리아가 병든상태,브레이크쓰루우,2026.02.21.,96
20190,정보 공유,"[해외논문] 방금 출간 2026- 암 치료의 미래 전망. 암의 특징을 통해 본 치료 발전 분석, 저자: 로냐 슈타들러, 오스트리아 (167페이지 pdf) Master Thesis 석사 논문, 강추!",꿈많은사람2,2026.02.21.,199
20191,정보 공유,흰머리는 노화가 아니라 멜라닌 부족이다?,브레이크쓰루우,2026.02.21.,98
20192,정보 공유,[충격] 펜벤다졸 화학 계열과 암: 50년 동안 30건의 특허 목록들 - 그들은 다 알고 있었다.,꿈많은사람2,2026.02.21.,440
20193,기타 자가임상 후기,한달만에 다시한 혈액검사,브레이크쓰루우,2026.02.21.,201
20194,자유게시판,"8-2. 파킨슨, 치매, 3개월 시한부선고 간경변 완치 투병기 - 건강장수 주거지 신축 재료 및 공법",건강장수1,2026.02.21.,21
20195,자유게시판,"8-3. 파킨슨병, 치매, 3개월 시한부선고 간경변 완치 투병기 - 치료법 선택, 기본식사",건강장수1,2026.02.21.,34
20196,정보 공유,"닥터 캠벨,코로나19 백신에 의한 혈관속 하얀 점성물질의 위험성",브레이크쓰루우,2026.02.22.,24
20197,정보 공유,(미국)독감환자로 응급실 포화상태.어린이들 사망급증,브레이크쓰루우,2026.02.22.,58
20198,정보 공유,"부산대,바이러스를 암세포에 주입 암세포 사멸시켜 치료 성공(2013년,단지 참고만)",브레이크쓰루우,2026.02.22.,41
20199,정보 공유,비소세포암 ㅡ 세균 ?미생물?,투게더투,2026.02.22.,56
20200,정보 공유,"토마스 세이프리드,구충제 효과 있어",브레이크쓰루우,2026.02.22.,53
20201,자유게시판,소설과 진실,비소편평상피폐암,2026.02.22.,58
20202,자유게시판,담낭암 간전이 현직 내과전문의 고백과 현실,건강장수1,2026.02.22.,96
20203,질문과 대답(QnA),나노커큐민시럽(수용액) 복용경험자분 계신가요?,천천히00,2026.02.22.,46
20204,정보 공유,식이습관과 체중관리는  어떻게?,브레이크쓰루우,2026.02.22.,58
20205,정보 공유,(캐나다 캘거리 대학)비타민 B3 뇌종양 교모세포종 치료에 효과,브레이크쓰루우,2026.02.22.,84
20206,자유게시판,"8-4. 파킨슨병, 치매, 3개월 시한부선고 간경변 완치 투병기 - 황장목 천연발효효소식초 1-1",건강장수1,2026.02.22.,38
20207,자유게시판,"8-5. 파킨슨병, 치매, 3개월 시한부선고 간경변 완치 투병기 - 황장목 천연발효효소식초 1-2",건강장수1,2026.02.22.,53
20208,정보 공유,"(닥터캠벨)흰색 고무같은 혈전 염습자가 발견,터보 암의 원인이 코로나19백신?",브레이크쓰루우,2026.02.23.,88
20209,정보 공유,생선회 ㅡ먹어야하나? 말아야하나요?,투게더투,2026.02.23.,68
20210,자유게시판,"8-6. 파킨슨병, 치매, 3개월 시한부선고 간경변 완치 투병기 - 황장목 천연발효효소식초 1-3",건강장수1,2026.02.23.,33
20211,자유게시판,"8-7. 각종암의 부작용, 재발, 전이 우려 없는 완전한 치유 및 완치에 대한 소고 (건강한 먹거리)",건강장수1,2026.02.23.,54
20212,질문과 대답(QnA),종양주변 환경은 산성? 알카리성?,브레이크쓰루우,2026.02.24.,93
20213,정보 공유,60세 이상의 노년층이 강황섭취시 주의할점,브레이크쓰루우,2026.02.24.,65
20214,자유게시판,다양한 뇌질환 치유 및 건강장수 시리즈 연재에 앞서서,건강장수1,2026.02.24.,16
20215,자유게시판,뇌질환 치유 및 건강장수 시리즈1,건강장수1,2026.02.24.,28
20216,정보 공유,Kaist 연구딈의 암세포를 정상세포로 되돌리는 원천기술 개발,브레이크쓰루우,2026.02.24.,49
20217,위암,위암 환자 수술과  항암 1년 포함 3년 10개월의 투병기,브레이크쓰루우,2026.02.25.,75
20218,정보 공유,"영지, 상황, 동충하초등 버섯류 30% 수명연장(동물실험)",브레이크쓰루우,2026.02.25.,26
20219,정보 공유,개똥쑥의 암세포 사멸원리,브레이크쓰루우,2026.02.25.,184
20220,자유게시판,"천연항암물질 멜라토닌, 송과체 회복하기",빙그르르르르르르,2026.02.25.,99
20222,질문과 대답(QnA),이빨이 시릴때 구충제 머금다가 버리는 방법,천천히00,2026.02.25.,130
20224,자유게시판,뇌질환 치유 및 건강장수 시리즈 2,건강장수1,2026.02.25.,19
20225,자유게시판,뇌질환 치유 및 건강장수 시리즈3,건강장수1,2026.02.25.,52
20226,정보 공유,75세 이상의 노년에게 근육감소 방지하는 다섯가지 과일,브레이크쓰루우,2026.02.26.,100
20227,정보 공유,감귤류 항암효과 탁월,브레이크쓰루우,2026.02.26.,103
20228,정보 공유,암치료의 핵심 Key 비타민 B3,브레이크쓰루우,2026.02.26.,277
20229,자유게시판,뇌질환 치유 및 건강장수 시리즈4,건강장수1,2026.02.26.,18
20230,자유게시판,뇌질환 치유 및 건강장수 시리즈5,건강장수1,2026.02.26.,23
20231,자유게시판,거대 제약사의 구충제에 대한 진실은 ?,투게더투,2026.02.27.,100
20232,췌장암,종양속의 새균 ? - 암은세균이 일으키는 균들의 집합체인가 ?,투게더투,2026.02.27.,71
20233,정보 공유,캐나다 캘거리대학 뇌종양 교모세포종 임상1상결과 비타민 B3가 암치료에 성과 있다는 논문발표,브레이크쓰루우,2026.02.27.,62
20234,자유게시판,뇌질환 치유 및 건강장수 시리즈 6,건강장수1,2026.02.28.,17
20235,자유게시판,"각종암, 퇴행성뇌질환, 만성신부전 등 난치병 치유와 완치가 가능한 심신전체의 면역력 정상화 및 강화 위주의 치료법과 투병방법에 대한 최종결론과 실천방법에 대한  고찰 1회",건강장수1,2026.02.28.,25
20236,위암,제미니에 비타민 B3 의 암치료 효과와 특히 위암에 대해 구충제 병용에 대해  계속 물어봤더니,브레이크쓰루우,2026.02.28.,200
20237,질문과 대답(QnA),오존발생기,가재골,2026.02.28.,87
20238,정보 공유,들깻잎의 다양한 항암작용,브레이크쓰루우,2026.02.28.,88
20239,정보 공유,게오르기 딘코프와 토마스 세이프리드 초청 대담,브레이크쓰루우,2026.02.28.,82
20240,전립선암,(영국)전립선암에 획기적인 면역 치료법 초기임상 대 성공,브레이크쓰루우,2026.02.28.,65
20241,자유게시판,이분을 기억하시나요?,분홍앵초,2026.02.28.,203
20242,자유게시판,니클로사마이드 구합니다,llsskk,2026.02.28.,68
20243,정보 공유,"[해외소식] 제인 맥클랜드, 조티펜스, 크리스 님들이 한자리에 모였다는 사진 공개 - 너무 부럽습니다.",꿈많은사람2,2026.03.01.,106
20244,정보 공유,PUFA(다가 불포화지방산)이 암의 먹이,브레이크쓰루우,2026.03.01.,94
20245,정보 공유,[기본편] 필독! 유산균 또는 프로바이오틱스 바로 알기 - 송무호 부산동의의료원 의사 - 쉽게 정리되어 있어요.,꿈많은사람2,2026.03.01.,138
20246,자유게시판,꿈많은 사람님의 게시글 현직의사 견해에 대한 답글,건강장수1,2026.03.01.,104
20247,자유게시판,"각종암, 퇴행성뇌질환, 만성신부전 등 난치병 치유와 완치가 가능한 심신전체의 면역력 정상화 및 강화 위주의 치료법과 투병방법에 대한 최종결론과 실천방법에 대한  고찰 2회",건강장수1,2026.03.01.,41
20248,정보 공유,Randle cycle(랜들사이클) :포도당과 지방산 둘중의 하나만 먹는 대사과정,브레이크쓰루우,2026.03.01.,54
20249,암 호전사례 정보,"[해외호전사례] 미국 남성 ""남은 시간 2개월""… 절망을 뚫고 생존한 찰스 왓슨(가명)의 전립선암 4기 극복 - fenbendazole, DCA 페북 그룹",꿈많은사람2,2026.03.01.,230
20250,자유게시판,뇌와 장 그리고 건강장수,건강장수1,2026.03.02.,49
20251,정보 공유,멜라토닌은 암세포를 정상세포로 재 프로그래밍한다. 필히 보충해야 하는 이유,브레이크쓰루우,2026.03.02.,265
20252,정보 공유,"케이시와 마크린턴의 세포억제이론에 관한 토론 1,2부(구충제의 효과)",브레이크쓰루우,2026.03.02.,65
20253,정보 공유,초강력 항산화제 아스타잔틴을 발명해서 자신의 불치의 암을 치료한 생화학 엔지니어,브레이크쓰루우,2026.03.02.,153
20254,정보 공유,개인적결론:단식하면서 메벤다졸 복용하라.,천천히00,2026.03.02.,75
20255,정보 공유,과도한 항산화제 섭취는 암의 진행을 가속화 할수 있으니 조심해야 한다고? 특히 아스타잔틴?,브레이크쓰루우,2026.03.03.,210
20256,정보 공유,실내 맨발걷기 접지하는 방법(한의사설명),브레이크쓰루우,2026.03.03.,188
20257,정보 공유,위의 견해를 참고만 하세요.지방산이 암의 먹이다는 근거논문(AI와의 대화),천천히00,2026.03.03.,64
20258,질문과 대답(QnA),베트남당뇨인아이디아는분요?,럭키공주,2026.03.04.,65
20259,췌장암,TTX(복어독)사용 후기 1,이간장췌장,2026.03.04.,254
20260,자유게시판,'코알라의 고향'님 요즘 활동 안하시나요?,늘푸른행복나무,2026.03.06.,100
20261,정보 공유,개인소비목적의 전문의약품 수입규제의 법적근거가 있나?(세관통관시 진단서 요청근거있나?),천천히00,2026.03.06.,105
20262,자유게시판,서해 시한부 말기암 선장님 첫조업 정나눔,건강장수1,2026.03.06.,115
20263,정보 공유,[해외커뮤니티] Denise가 올린 질문에 800개 댓글이 달렸어요. Ivermectin and Cancer Discussion Group 이라는 페이스북 그룹,꿈많은사람2,2026.03.08.,248
20264,위암,암세포의 에너지원(당분 지방)과 위암의 경우에 대해 제미나이에게 물었더니,브레이크쓰루우,2026.03.08.,253
20266,정보 공유,비타민 B3 (니코틴산 아마이드) 복용량과 복용법,브레이크쓰루우,2026.03.09.,158
